CDP,Region,Subregion,Technology,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52
CDP3,VIC,VIC,Hydro,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006,2219.02000006
CDP3,VIC,VIC,Utility storage,299.13,479.13,1990.6399999999999,2405.44082435,3855.04001782,3847.34002573,3837.7400573799996,3845.0400714899997,3845.0400774899995,4095.04008712,4043.21008712,4146.69999724,4146.69999724,4153.29999724,4146.69999724,4141.70000051,4141.70000247,4141.70000247,3841.70000654,3841.7000118299998,3691.70002576,3498.30003913,3196.9900415399998,2458.48921838,1248.1140314900001,1248.11402508,1228.11399343,628.11400092,628.11408864
CDP3,VIC,VIC,Coordinated CER storage,50.996365,120.35797,225.63405,352.14328,506.89725,670.60376,931.2351,1175.07575156,1436.6108976799999,1729.6720093000001,2058.7057629,2439.6037583,2866.0196955,3277.8365747000003,3727.7886957,4203.7328587,4654.3690635,5123.63801,5607.440299,6115.027829000001,6644.4650010000005,7216.103816,7819.353872,8405.005369999999,9010.550609,9631.892190999999,10232.099895,10506.411795,10776.586757000001
CDP3,VIC,VIC,Passive CER storage,211.8298433,295.9398715,408.1357918,510.5508823,606.5903158,680.8938532,776.1997013,892.6094065,1003.102254,1111.903375,1220.716755,1333.921572,1450.138777,1545.6481,1640.35894,1726.710867,1795.023027,1849.956995,1899.181595,1939.074778,1972.441633,2006.90093,2043.404825,2064.119694,2085.548771,2093.617439,2091.925507,2173.593609,2251.095737
CDP3,VIC,VIC,Offshore wind,0,0,0,0,0,0,0,1000,2000,2666.66665146,3333.3333026399996,3999.9999552299996,4999.99993258,5999.999909579999,6999.99988647,7999.99998708,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432,8999.99997432
CDP3,VIC,VIC,Wind,4537.369999999999,4537.369999999999,5381.9299999999985,5931.276180659998,7284.510697339999,8409.610772170001,9059.285677380001,9059.285677380001,9059.28569482,9574.319538800002,9707.929647990002,9680.15348094,9680.15348815,9680.15349584,9617.15349584,9197.15349584,9197.15352721,8908.853552870001,8908.853552870001,9236.557435630002,8986.057748900002,8745.475749520003,8819.315663740002,9229.293611340001,8831.793611340001,8936.84711775,9302.9789329,8989.5189329,8989.5189329
CDP3,VIC,VIC,Utility solar,1078.39,1171.8700000000001,1343.97,1696.0900092299999,1696.0900106099998,1696.0900155699999,2052.77726146,2052.7772956,2052.7773123099996,2052.7773349500003,2052.77734033,3148.92961032,3148.9296128299998,3148.92965868,3148.92965868,3148.92966126,3148.9296634,3487.2473091699994,3487.2473105299996,4587.802547529999,6220.573979989998,7036.15286943,7008.98287256,7112.08689458,7112.08689458,8016.484305219999,7640.554305219999,8015.3085660199995,7820.298566019999
CDP3,VIC,VIC,Distributed PV,5150.296997070312,5839.990662,6529.684381,7223.3595,7962.369,8657.9265,9350.337,9962.2705,10567,11232.99,11874.91,12550.1635,13233.184,13915.5505,14609.3445,15324.4295,16043.424,16740.1345,17455.768,18138.7005,18821.908,19581.2425,20409.2845,21222.4585,22069.081,22939.3895,23840.57,24730.938,25625.0115
CDP3,VIC,VIC,Other renewable fuels,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
CDP3,VIC,VIC,DSP,257.18,265.87,276.72,290.01,302.71,318.19,333.49,348.98,366.38,382.62,401.06,417.2,432.72,448.35,463.4,477.49,490.89,505.2,517.37,529.52,541.52,551.78,562.6,571.41,581.56,590.23,598.75,602.77,606.81
