date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T17:50:00Z,-0.59,0,0,127,5138.98,54.7,158.88,978.82,363.11,50.54,18.55,289.47,265.21,478.27,370.24,25.43,0,6.26,382.53,0.12,13.9,36.67,18.66,2.59,687.74,225.75
2024-12-11T17:55:00Z,-1.84,0,0,114.5,5250.36,56.8,157.88,971.78,376.32,49.97,23.99,288.88,261.44,422.97,325.88,25.37,0,5.68,390.92,0.13,13.81,36.44,19.31,2.56,697.19,263.99
2024-12-11T18:00:00Z,-0.49,0,0,70.8,5295.97,58.7,161.87,999.94,377.34,49.93,28.48,336.72,264.46,321.15,281.52,25.3,0,3.53,394.31,0.13,14.16,37.39,19.36,2.56,698.03,284.95
2024-12-11T18:05:00Z,-1.33,0,0,30,5328.48,59.3,157.88,998.79,376.83,50.11,0,455.22,264.53,272.27,248.56,25.22,0,1.5,396.69,0.13,13.81,37.35,19.34,2.57,691.46,284.95
2024-12-11T18:10:00Z,-0.49,0,-67.2,0,5323.54,60.9,161.87,1000.96,377.11,50.07,62.06,466.59,270.72,221.31,215.6,25.13,3.95,0,396.31,0.13,14.16,37.44,19.35,2.57,686.76,286.57
2024-12-11T18:15:00Z,-0.49,0,0,4.9,5363.43,59.9,160.88,1009.63,377.5,50.34,59.61,469.8,257.25,181.85,182.64,25.05,0,0.25,399.24,0.13,14.07,37.88,19.38,2.58,695.75,291.31
2024-12-11T18:20:00Z,-0.49,0,-29.1,0,5390.2,59.2,161.87,1018.8,378.74,50.19,93.97,483.22,280.45,141.17,149.68,24.97,1.72,0,401.21,0.13,14.16,38.2,19.44,2.58,695.54,319.05
2024-12-11T18:25:00Z,-0.49,0,-30.9,0,5430.86,55.9,246.17,1011.07,378.91,53.43,131.66,431.63,275.32,78.32,116.72,24.88,1.86,0,404.23,0.12,21.54,37.95,19.45,2.73,710.38,337.73
2024-12-11T18:30:00Z,-0.49,0,-120.9,0,5437.91,57.7,247.2,1007.85,378.11,53.92,219.18,429.77,281.82,54.93,83.75,24.8,7.2,0,404.78,0.13,21.63,37.82,19.41,2.75,707.41,337.73
2024-12-11T18:35:00Z,-0.49,0,-146.3,0,5432.69,59,244.2,1005.15,377.61,52.25,260.59,419.91,278.26,34.56,69.93,24.7,8.7,0,404.38,0.13,21.36,37.73,19.38,2.67,707.71,349.75
2024-12-11T18:40:00Z,-0.49,0,-201.6,0,5448.17,61.9,246.21,1010.25,379.69,52.85,291.75,421.56,262.07,19.93,56.1,24.6,11.99,0,405.49,0.14,21.54,37.9,19.5,2.7,708.63,337.73
2024-12-11T18:45:00Z,-0.49,0,-152.3,0,5437.46,61.9,247.2,1012.43,381.68,45.86,312.56,432.83,272.15,9.13,42.28,24.5,9.02,0,404.71,0.13,21.63,37.99,19.6,2.37,707.05,337.73
2024-12-11T18:50:00Z,-0.49,0,-51.5,0,5410.3,63.4,243.21,1005.95,376.07,46.09,225.13,420.51,284.51,5.88,28.45,24.4,3.08,0,402.75,0.14,21.28,37.76,19.33,2.38,715.67,300
2024-12-11T18:55:00Z,-0.49,0,0,6.4,5445.81,64.3,246.21,1029.91,382.9,46.16,95.12,447.22,276.62,4.34,14.63,24.3,0,0.34,405.36,0.14,21.54,38.58,19.66,2.39,727.79,290.31
2024-12-11T19:00:00Z,-0.49,0,0,102.7,5397.1,61.8,215.87,998.58,380,47.62,152.28,422.87,309.17,1.37,0.8,24.2,0,5.47,401.73,0.13,18.89,37.52,19.52,2.46,739.27,246.81
2024-12-11T19:05:00Z,-0.52,0,0,201.5,5352.39,60.3,184.75,1004.25,380.09,50.45,129.2,400.57,320.92,0.2,0.67,24.18,0,10.83,398.41,0.13,16.16,37.73,19.53,2.59,758.23,284.95
2024-12-11T19:10:00Z,-0.49,0,0,306.8,5328.68,62.6,163.42,1000.02,380.53,50.46,26.36,416.98,312.98,0.2,0.53,24.17,0,16.47,396.68,0.14,14.3,37.55,19.55,2.59,786.41,225.75
2024-12-11T19:15:00Z,-0.49,0,0,300.7,5302.01,61.4,160.97,987.99,382.16,51.51,118.94,401.97,333.74,0.2,0.4,24.15,0,16.35,394.72,0.13,14.08,37.18,19.63,2.64,775.56,225.75
2024-12-11T19:20:00Z,-1.59,0,0,282.2,5272.78,61.5,159.97,983.51,381.3,53.35,86.71,396.95,374.86,0.2,0.27,24.13,0,15.27,392.59,0.13,14,37.03,19.59,2.73,771.41,200
2024-12-11T19:25:00Z,-0.49,0,0,313.4,5219.27,62.9,159.97,996.16,383.62,54.41,96.8,399.8,407.02,0.2,0.13,24.12,0,17.56,388.78,0.14,14,37.45,19.7,2.78,772.08,177.7
